Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
CD000120,,CATH PROC RHC LHC CORS LV,"$25,249.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000121,,CATH PROC RHC LHC COR LV GRAFT,"$26,583.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000122,,CATH PROC LHC TRANSSEPTAL PUNC,"$10,396.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000123,,DRUG ADMIN W/HEMO EVAL,"$1,132.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000124,,EXERCISE STUDY DURING CATH PROC,"$1,700.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000125,,CATH PROC COMB RT & LFT HRT W/LV,"$18,571.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000126,,CATH PROC LEFT HEART W/LV,"$15,866.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000127,,CATH W INJ COR ANGIOGRAM CONG,"$2,247.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000129,,CATH PROC COR ANGIO W/INJ,"$17,615.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000130,,PROGRAMMING SINGLE LEAD PACEMAKER,$85.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000131,,PROGRAMMING DUAL LEAD PACEMAKER,$111.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000133,,PROGRAMMING SINGLE LEAD DEFIBRILLATOR,$113.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000135,,PROGRAMMING MULTIPLE LEAD DEFIBRILLATOR,$130.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000136,,PROGRAMMING IMPLANTABLE LOOP RECORDER,$85.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000137,,PACEMAKER EVALUATION,$81.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000138,,DEFIBRILLATOR EVALUATION,$102.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000139,,IMPLANTABLE CARDIOVASCULAR MONITOR SYSTEM,$48.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000140,,IMPLANTABLE LOOP RECORDER EVALUATION,$67.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000142,,EVALUATION PACEMAKER/ICD,$258.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000143,,EVALUATION ICM/ILR,$239.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000145,,PRQ TRLUML CORONARY ANGIO/ATHERECT ONE ART/BRNCH,"$15,071.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000146,,PRQ TRLUML CORONARY ANGIO/ATHEREC ADDL ART/BRNCH,"$7,276.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000147,,PRQ TRLUML CORONARY STENT W/ANGIO ONE ART/BRNCH,"$18,552.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000148,,PRQ TRLUML CORONARY STENT W/ANGIO ADDL ART/BRNCH,"$13,739.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000149,,PRQ TRNSCTH CORONARY STENT W/ANGIO ONE ART/BRNCH,"$20,954.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000150,,PRQ TRNSCTH CORONARY STENT W/ANGIO ADDL ART/BRNCH,"$20,954.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000151,,PRQ TRLUML CORONRY STENT/ATH/ANGIO ONE ART/BRNCH,"$20,954.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000152,,PRQ TRLUML CORONARY STENT/ATH/ANGIO ADDL BRANCH,"$12,925.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000153,,PRQ TRLUML CORONARY BYP GRFT REVASC ONE VESSEL,"$20,954.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000154,,PRQ TRLUML CORONARY BYP GRFT REVASC ADDL VESSEL,"$13,988.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000155,,PRQ TRLUML CORONRY TOT OCCLUS REVASC MI ONE VSL,"$20,954.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000156,,PRQ TRLUML CORONRY CHRONIC OCCLUS REVASC ONE VSL,"$13,988.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000157,,PRQ TRLUML CORONRY CHRNIC OCCLUS REVASC ADDL VSL,"$20,954.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000158,,EPHYS EVAL W/ ABLATION SUPRAVENT ARRHYTHMIA,"$41,893.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000159,,EPHYS EVAL W/ ABLATION VENTRICULAR TACHYCARDIA,"$41,893.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000160,,ICAR CATHETER ABLATION ARRHYTHMIA ADD ON,"$25,587.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000161,,EPHYS EVL TRNSPTL TX ATRIAL FIB ISOLAT PULM VEIN,"$41,893.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000162,,ABLATE L/R ATRIAL FIBRIL W/ ISOLATED PULM VEIN,"$25,587.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000163,,PERC DRUG-EL COR STENT SINGLE,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000164,,PERC DRUG-EL COR STENT ADD,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000165,,PERC DRUG-EL COR STENT ATHER SINGLE,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000166,,PERC DRUG-EL COR STENT ATHER ADD,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000167,,PERC DRUG-EL COR REVASC T CABG SINGLE,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000168,,PERC DRUG-EL COR REVASC T CABG ADD,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000169,,PERC DRUG-EL COR REVASC W AMI SINGLE,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000170,,PERC DRUG-EL COR REVASC CHRO SINGLE,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000171,,PERC DRUG-EL COR REVASC CHRO ADD,"$31,915.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000174,,ECHO TTHRC R-T 2D W/WO M-MODE REST&STRS CONT ECG,"$1,296.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000185,,PERCUTAN TRANSCATH CLOSURE PAT DUCT ARTERIOSUS,"$22,463.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000186,,PERCUTANEOUS TRANSCATHETER SEPTAL REDUCTION THER,"$1,453.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000187,,TTE W OR WO FOL WCON DOPPLER,"$5,816.00",,,,,,,,,,,,,,,,,,,,,,,,
CD033270,,INS/REP SUBQ DEFIBRILLATOR,"$75,734.00",,,,,,,,,,,,,,,,,,,,,,,,
