"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00030014544,HC CHLORIDE URINE,$189.00,$189.00
Px00030014564,HC CITRATE QUANT URINE,$345.00,$345.00
Px00030014566,HC CK TOTAL,$114.00,$114.00
Px00030014567,HC CK-MB,$206.00,$206.00
Px00030014590,HC Column chromotography quant,$121.00,$121.00
Px00030014603,HC COPPER.,$271.00,$271.00
Px00030014605,HC CORTISOL,$252.00,$252.00
Px00030014606,HC CORT FREE URINE RANDOM,$260.00,$260.00
Px00030014631,HC CREATININE CLEARANCE-SERUM + URINE,$312.00,$312.00
Px00030014641,HC CRYOFIBRINOGEN PLASMA,$157.00,$157.00
Px00030014642,HC CRYOGLOBULIN SERUM,$155.00,$155.00
Px00030014674,HC DDIMER QUANT,$230.00,$230.00
Px00030014683,HC DHEA QUANT,$504.00,$504.00
Px00030014685,HC DHEA SULFATE.,$436.00,$436.00
Px00030014761,HC DRUG URINE BY MS/MS,$497.00,$497.00
Px00030014772,HC ELASTASE PANCREATIC EL1 FECAL,$606.00,$606.00
Px00030014775,HC ELP UR-PROTEIN ELP URINE,$248.00,$248.00
Px00030014776,HC ELP UR-PROTEIN TOTAL URINE,$106.00,$106.00
Px00030014795,HC ERYTHROPOIETIN BLD,$278.00,$278.00
Px00030014796,HC ESTRADIOL,$274.00,$274.00
Px00030014797,HC ESTRADIOL ENHANCED,$274.00,$274.00
Px00030014801,HC ESTRIOL LEVEL,$180.00,$180.00
Px00030014804,HC ESTROGEN FRAC-ESTRADIOL,$274.00,$274.00
Px00030014805,HC ESTROGEN FRAC-ESTRONE,$451.00,$451.00
Px00030014823,HC FACTOR 8,$463.00,$463.00
Px00030014832,HC FACTOR II,$367.00,$367.00
Px00030014834,HC FACTOR V ACTIVITY,$269.00,$269.00
Px00030014854,HC FACTOR VIII MAYO,$357.00,$357.00
Px00030014866,HC FACTOR X ACTIVITY,$243.00,$243.00
Px00030014876,HC FECAL FAT QUANTITATIVE,$106.00,$106.00
Px00030014877,HC FECAL OCCULT BLD (1-3 SAMPLES),$100.00,$100.00
Px00030014881,HC FETAL FIBRONECTIN,$597.00,$597.00
Px00030014884,HC FETAL/MATERNAL BLOOD SCREEN,$238.00,$238.00
Px00030014892,HC FK506 - PROGRAF,$483.00,$483.00
Px00030014898,HC FOLATE,$171.00,$171.00
Px00030014899,HC FOLATE RBC,$356.00,$356.00
Px00030014930,HC FREE PSA PSA TOTAL,$244.00,$244.00
Px00030014932,HC FREE T-3 ICMA,$503.00,$503.00
Px00030014933,HC FREE T4,$181.00,$181.00
Px00030014937,HC FSH,$313.00,$313.00
Px00030014938,HC FSH PEDS,$328.00,$328.00
Px00030014945,HC G6PD QUANT BLD,$87.00,$87.00
Px00030014949,HC GAMMA GT TOTAL,$167.00,$167.00
Px00030014950,HC GAMMAGLOBULIN IGA IGD IGG IGM EACH,$201.00,$201.00
Px00030014951,HC GAMMAGLOBULIN IMMUNOGLOBULIN GROUP,$201.00,$201.00
Px00030014952,HC GAMMAGLOBULIN MS PANEL,$224.00,$224.00
Px00030014962,HC GASTRIN.,$297.00,$297.00
Px00030014976,HC GLOMERULAR BASE MEMBRANE AB,$261.00,$261.00
Px00030014980,HC GLUCOSE POST GLUCOSE DOSE (INCLUDES GLUCOSE),$183.00,$183.00
Px00030014981,HC GLUCOSE BODY FLUID OTHER THAN BLOOD,$111.00,$111.00
Px00030014986,HC GLUCOSE QUANTITATIVE BLOOD (EXCEPT REAGENT STRIP),$100.00,$100.00
Px00030014989,HC GLUCOSE TOL ADDL SAMP 3HR,$61.00,$61.00
Px00030014990,HC GLUCOSE TOLERANCE TEST (GTT) 3,$279.00,$279.00
Px00030015020,HC GLYCOSYLATED HEMOGLOBIN,$182.00,$182.00
Px00030015025,HC GONADOTROPIN CHORIONIC (HCG) QUANTITATIVE,$367.00,$367.00
Px00030015029,HC GROWTH HORMONE.,$305.00,$305.00
Px00030015033,HC H PYLORI DRUG ADMIN/COLLECT,$76.00,$76.00
Px00030015036,HC HAPTOGLOBIN.,$177.00,$177.00
Px00030015043,HC HCG SCREEN (SERUM),$226.00,$226.00
Px00030015065,HC HELICO PYLORI BREATH TEST,$510.00,$510.00
Px00030015067,HC HEMATOCRIT (HCT),$84.00,$84.00
Px00030015078,HC HEMOGLOBIN METHEMOGLOBIN QUANTITATIVE,$30.00,$30.00
Px00030015080,HC HEMOGLOBIN (HGB),$60.00,$60.00
Px00030015083,HC HEMOGLOBIN FRACTIONATION A2 AND F,$231.00,$231.00
Px00030015086,HC HEMOGLOBIN POCT,$60.00,$60.00
Px00030015147,HC HGB ELECTROPHORESIS FRACTION A,$297.00,$297.00
Px00030015148,HC HGB ELECTROPHORESIS FRACTION A2,$255.00,$255.00
Px00030015152,HC HGB PLASMA,$184.00,$184.00
Px00030015188,HC HVY MET BLD - ARSENIC,$317.00,$317.00
Px00030015189,HC HVY MET BLD - CADMIUM,$314.00,$314.00
Px00030015190,HC HVY MET BLD - LEAD,$182.00,$182.00
Px00030015191,HC HVY MET BLD - MERCURY,$333.00,$333.00
Px00030015192,HC HVY MET UR - ARSENIC,$317.00,$317.00
Px00030015193,HC HVY MET UR - CADMIUM,$314.00,$314.00
Px00030015194,HC HVY MET UR - LEAD,$182.00,$182.00
Px00030015195,HC HVY MET UR - MERCURY,$333.00,$333.00
Px00030015206,HC SERUM-PROTEIN ELP SERUM,$421.00,$421.00
Px00030015207,HC IFE SERUM-PROTEIN TOTAL SERUM,$150.00,$150.00
Px00030015208,HC IFE UR-PROTEIN ELP URINE,$248.00,$248.00
Px00030015209,HC IFE UR-PROTEIN TOTAL URINE,$106.00,$106.00
Px00030015213,HC IGE SERUM TOTAL,$312.00,$312.00
Px00030015214,HC IGF PEDS (SOM-C),$485.00,$485.00
Px00030015215,HC IGF BINDING PROTEIN PEDS,$333.00,$333.00
Px00030015218,HC IGF-1 SERUM,$405.00,$405.00
Px00030015229,HC IGG SUB-GAMMAGLOBULIN IGG,$132.00,$132.00
Px00030015258,HC IMMUNOGLOBULIN SUBCLASSES EACH,$416.00,$416.00
Px00030015262,HC INFLAM BOW PANEL IMMUNOASSAY QUANT NOT OTHERWISE SPECIFIED,$179.00,$179.00
Px00030015266,HC INSULIN LEVEL PEDS,$190.00,$190.00
Px00030015267,HC INSULIN LEVEL ASSAY,$203.00,$203.00
Px00030015298,HC IRON,$177.00,$177.00
Px00030015357,HC LACTATE (LACTIC ACID),$245.00,$245.00
Px00030015358,HC LACTOFERRIN FECAL QUALITATIVE,$168.00,$168.00
Px00030015373,HC LDH SERUM,$106.00,$106.00
Px00030015375,HC LDL CHOLESTEROL DIRECT,$177.00,$177.00
Px00030015376,HC LEAD BLOOD,$211.00,$211.00
Px00030015391,HC LH,$367.00,$367.00
Px00030015392,HC LH PEDS,$343.00,$343.00
Px00030015394,HC LIOW CYCLOSPORINE,$128.00,$128.00
Px00030015399,HC LIPOPROTEIN A,$41.00,$41.00
Px00030015405,HC LS RATIO-L/S,$449.00,$449.00
Px00030015406,HC LS RATIO-PG,$259.00,$259.00
Px00030015407,HC LUP ANTICOAG-DRVVT,$222.00,$222.00
Px00030015408,HC LUPUS ANTICOAG-PT,$174.00,$174.00
Px00030015409,HC LUPUS ANTICOAG-PTT,$179.00,$179.00
Px00030015415,HC LYTES STL-CHLORIDE OTHER,$52.00,$52.00
Px00030015416,HC LYTES STL-MAGNESIUM,$52.00,$52.00
Px00030015417,HC LYTES STL-SODIUM OTHER,$52.00,$52.00
Px00030015421,HC MAGNESIUM QUANT URINE,$186.00,$186.00
Px00030015433,HC Mass spectrometry quant,$196.00,$196.00
Px00030015440,HC MERCURY QUANT BLOOD,$352.00,$352.00
Px00030015447,HC METANEPHRINE URINE RANDOM,$220.00,$220.00
Px00030015448,HC METANEPHRINES QUANT PLASMA,$220.00,$220.00
Px00030015449,HC METANEPHRINES QUANT URINE,$263.00,$263.00
Px00030015460,HC METHYLMALONIC ACID LEVEL,$387.00,$387.00
Px00030015466,HC MITOCHONDRIAL ANTIBODY,$57.00,$57.00
Px00030015523,HC MUSK AB,"$1,130.00","$1,130.00"
Px00030015558,HC MYOGLOBIN QUANT URINE,$302.00,$302.00
Px00030015571,HC NEPHELOMETRY EACH ANALYTE NOT ELSEWHERE SPECIFIED,$304.00,$304.00
Px00030015575,HC NI METABOLIC SCREEN,$167.00,$167.00
Px00030015611,HC OB AMNISURE ROM FETAL TEST,$159.00,$159.00
Px00030015613,HC OCCULT BLOOD GASTRIC,$90.00,$90.00
Px00030015629,HC ORGANIC ACIDS URINE,$321.00,$321.00
Px00030015630,HC OSMOLALITY STOOL Clinical Chem Test,$52.00,$52.00
Px00030015633,HC OXALATE QUANT URINE,$258.00,$258.00
Px00030015662,HC PCP URINE CONFIRMATION,$286.00,$286.00
Px00030015674,HC PH GASTRIC,$74.00,$74.00
Px00030015691,HC PHOSPHORUS QUANT URINE,$184.00,$184.00
Px00030015692,"HC PHOSPHORUS, STOOL",$52.00,$52.00
Px00030015715,HC POC LIFESCAN GLUCOSE,$92.00,$92.00
Px00030015719,HC PORPHOBILINOGEN QUANT URINE,$258.00,$258.00
Px00030015735,"HC POTASSIUM, FECAL",$52.00,$52.00
Px00030015745,HC PRENATAL-ALPHAFETOPROTEIN,$124.00,$124.00
Px00030015746,HC PRENATAL-ESTRIOL,$298.00,$298.00
Px00030015747,HC PRENATAL-HCG QUANTITATIVE,$343.00,$343.00
Px00030015756,HC PROLACTIN PEDS,$283.00,$283.00
Px00030015761,HC PROSTATE SPECIFIC ANTIGEN (PSA) TOTAL,$227.00,$227.00
Px00030015763,HC PROT ELP-PROTEIN ELP SERUM,$421.00,$421.00
Px00030015764,HC PROT ELP-PROTEIN TOTAL SERUM,$106.00,$106.00
Px00030015780,"HC PROTEIN S, (ACTIVITY)",$332.00,$332.00
Px00030015783,HC PROTEIN TOTAL URINE PAMC,$88.00,$88.00
Px00030015809,HC PSA FREE,$199.00,$199.00
Px00030015810,HC PSA ULTRASENSITIVE,$352.00,$352.00
Px00030015823,HC PTH RELATIVE PROTEIN,$342.00,$342.00
Px00030015863,HC RBC MAGNESIUM,$212.00,$212.00
Px00030015872,HC REDUCING SUBSTANCE STOOL,$206.00,$206.00
Px00030015879,HC RENIN ACTIVITY,$434.00,$434.00
Px00030015882,HC RETIC AUTOMATED,$145.00,$145.00
Px00030015887,HC RIBOSOME P AB,$202.00,$202.00
Px00030015928,HC SEX HORMONE BINDING GLOBULIN,$216.00,$216.00
Px00030015931,HC SGPT (ALT),$171.00,$171.00
Px00030015963,HC SPECIFIC GRAVITY MISC FLUID,$78.00,$78.00
Px00030015981,HC SUPERSATURATION PH,$41.00,$41.00
Px00030015982,HC SUPERSATURATION CALCIUM URINE,$41.00,$41.00
Px00030015983,HC SUPERSATURATION CHLORIDE URINE,$41.00,$41.00
Px00030015984,HC SUPERSATURATION CITRATE URINE,$41.00,$41.00
Px00030015985,HC SUPERSATURATION CREATININE URINE,$41.00,$41.00
Px00030015986,HC SUPERSATURATION MAGNESIUM URINE,$41.00,$41.00
Px00030015987,HC SUPERSATURATION OSMOLALITY URINE,$41.00,$41.00
Px00030015988,HC SUPERSATURATION OXALATE URINE,$41.00,$41.00
Px00030015989,HC SUPERSATURATION PHOPHORUS URINE,$41.00,$41.00
Px00030015990,HC SUPERSATURATION POTASSIUM URINE,$41.00,$41.00
Px00030015991,HC SUPERSATURATION SODIUM URINE,$41.00,$41.00
Px00030015992,HC SUPERSATURATION SULFATE URINE,$41.00,$41.00
Px00030015993,HC SUPERSATURATION URIC ACID URINE,$41.00,$41.00
Px00030015997,HC T3 ICMA,$246.00,$246.00
Px00030015998,HC T3 REVERSE ESOTERIX,$595.00,$595.00
Px00030016000,HC T3 UPTAKE,$212.00,$212.00
Px00030016004,HC TACROLIMUS ARH,$108.00,$108.00
Px00030016009,HC TESTOSTERONE PEDS,$275.00,$275.00
Px00030016020,HC THALASSEMIA FERRITIN,$257.00,$257.00
Px00030016021,HC THALASSEMIA HGB ELECTROPHORESIS,$255.00,$255.00
Px00030016030,HC THROMBIN III ACTIVITY,$338.00,$338.00
Px00030016031,HC THROMBIN III ANTIGEN ASSAY,$287.00,$287.00
Px00030016039,HC THYROGLOBULIN TUMOR MARKER,$35.00,$35.00
Px00030016040,HC THYROID STIM IMMUNOGLOB,"$1,000.00","$1,000.00"
Px00030016041,HC THYROID STIMULATING HORMONE (TSH),$206.00,$206.00
Px00030016042,HC THYRO-THYROGLOBULIN,$40.00,$40.00
Px00030016043,HC THYROXINE BINDING GLOBULIN,$146.00,$146.00
Px00030016044,HC THYROXINE T4,$208.00,$208.00
Px00030016051,"HC TISSUE TRANGLUT AB, EACH",$254.00,$254.00
Px00030016055,HC TISSUE TRANSGLUTIMASE,$270.00,$270.00
Px00030016086,HC TRIGLYCERIDES,$154.00,$154.00
Px00030016091,HC TROPONIN QUANTITATIVE,$245.00,$245.00
Px00030016097,HC TRYPTASE SERUM,$242.00,$242.00
Px00030016119,HC URIC ACID QUANT URINE,$186.00,$186.00
Px00030016153,HC USC THYROGLUBLIN LEVEL,$343.00,$343.00
Px00030016184,HC VITAMIN B-1 LEVEL,$336.00,$336.00
Px00030016188,HC VITAMIN B-6 LEVEL,$242.00,$242.00
Px00030016189,HC VITAMIN D 1 25 DIHYDRO,$130.00,$130.00
Px00030016196,HC VITAMIN-B12,$271.00,$271.00
Px00030016197,HC VLCHAIN FATTY ACID,$301.00,$301.00
Px00030016198,HC VMA QUANT URINE,$386.00,$386.00
Px00030016212,HC VW PAN-FACTOR VIII ONE STAGE,$437.00,$437.00
Px00030016214,HC VW PAN-VON WILL FACTOR AG,$533.00,$533.00
Px00030016230,HC ZINC SERUM,$269.00,$269.00
Px00030016235,HC V FIBROSURE APOLIPOPROTEIN EACH,$119.00,$119.00
Px00030016236,HC V FIBROSURE BILIRUBIN TOTAL,$119.00,$119.00
Px00030016237,HC V FIBROSURE GGT,$119.00,$119.00
Px00030016238,HC V FIBROSURE HAPTOGLOBIN QUANTITATIVE,$119.00,$119.00
Px00030016239,HC V FIBROSURE NEPHELOMETRY EACH ANALYTE,$119.00,$119.00
Px00030016240,HC V FIBROSURE SGPT,$119.00,$119.00
Px00030110007,HC CA 15-3,$269.00,$269.00
Px00030110008,HC CA 27.29,$324.00,$324.00
Px00030110009,HC CA 19.9,$309.00,$309.00
Px00030110064,HC PSA SCREENING,$144.00,$144.00
Px00030110073,HC ASSAY OF PHENYTOIN TOTAL OF FREE,$245.00,$245.00
Px00030110077,HC URIC ACID BLOOD,$152.00,$152.00
Px00030110510,HC ASSAY OF PHENOBARBITAL LEVEL,$387.00,$387.00
Px00030110567,HC PROTEIN ELECTROPHORESIS,$393.00,$393.00
Px00030110602,HC ASSAY OF VANCOMYCIN,$239.00,$239.00
Px00030111010,HC CA 125,$374.00,$374.00
Px00030112003,HC ASSAY OF SERUM ALBUMIN,$94.00,$94.00
Px00030112011,HC ASSAY OF TRANSFERRIN,$128.00,$128.00
Px00030112013,HC ASSAY OF HAPTOGLOBIN QUANT,$166.00,$166.00
Px00030112014,HC ASSAY OF MAGNESIUM,$186.00,$186.00
Px00030112020,HC MICROALBUMIN QUANTITATIVE,$93.00,$93.00
Px00030112023,HC BILIRUBIN TOTAL,$167.00,$167.00
Px00030112024,HC NATRIURETIC PEPTIDE,$352.00,$352.00
Px00030112025,HC TEST FOR ACETONE/KETONES,$51.00,$51.00
Px00030112027,"HC ASSAY OF CALCIUM, IONIZED",$135.00,$135.00
Px00030112029,HC HEPATITIS ACUTE PANEL,$185.00,$185.00
Px00030112031,HC ELECTROLYTE PANEL,$254.00,$254.00
Px00030112034,HC ASSAY OF FETAL FIBRONECTIN,$557.00,$557.00
Px00030112035,HC PH BODY FLUID NOT OTHERWISE SPECIFIED,$30.00,$30.00
Px00030112039,HC ASSAY OF VITAMIN A,$330.00,$330.00
Px00030112043,HC BILIRUBIN DIRECT,$167.00,$167.00
Px00030112044,HC OSMOLALITY URINE,$145.00,$145.00
Px00030112045,HC PREALBUMIN,$200.00,$200.00
Px00030112046,HC CARBAMAZEPINE-TEGRETOL,$233.00,$233.00
Px00030112048,HC TESTOSTERONE FREE,$406.00,$406.00
Px00030112050,HC ASSAY OF PHENOBARBITAL,$307.00,$307.00
Px00030112055,HC POTASSIUM URINE,$106.00,$106.00
Px00030112061,HC BASIC METABOLIC PANEL,$466.00,$466.00
Px00030112062,HC COMPREHEN METABOLIC PANEL,$477.00,$477.00
Px00030112063,HC LIPID PANEL,$174.00,$174.00
Px00030112064,HC RENAL PANEL,$466.00,$466.00
Px00030112067,HC PROGESTERONE,$326.00,$326.00
Px00030112069,HC ASSAY OF ESTRADIOL,$256.00,$256.00
Px00030112071,HC ASSAY OF THEOPHYLLINE,$408.00,$408.00
Px00030112073,HC PROLACTIN,$283.00,$283.00
Px00030112079,HC VIT D 1 25-DIHYDROXY,$101.00,$101.00
Px00030112088,HC ASSAY OF PHENYTOIN FREE,$192.00,$192.00
Px00030112093,HC ASSAY OF SIROLIMUS,$166.00,$166.00
Px00030112094,HC ASSAY OF TOPIRAMATE,$255.00,$255.00
Px00030112098,HC ASSAY OF VASOPRESSIN,$108.00,$108.00
Px00030112103,HC HEPATIC FUNCTION PANEL,$353.00,$353.00
Px00030112104,HC ALANINE AMINO (ALT) (SGPT),$159.00,$159.00
Px00030112106,HC BLOOD FOLIC ACID SERUM,$159.00,$159.00
Px00030112107,HC ASSAY PHOSPHORUS,$94.00,$94.00
Px00030112108,HC ASSAY OF AMMONIA,$226.00,$226.00
Px00030112109,HC ASSAY OF DIGOXIN,$193.00,$193.00
Px00030112110,HC ASSAY OF ERYTHROPOIETIN,$258.00,$258.00
Px00030112111,HC ASSAY OF FERRITIN,$385.00,$385.00
Px00030112112,HC ASSAY OF IRON,$249.00,$249.00
Px00030112114,HC FREE ASSAY (FT-3),$472.00,$472.00
Px00030112115,HC TESTOSTERONE TOTAL,$334.00,$334.00
Px00030112116,HC ASSAY OF LITHIUM,$198.00,$198.00
Px00030112120,HC GONADOTROPIN (LH),$343.00,$343.00
Px00030112124,HC ASSAY OF PRIMIDONE,$182.00,$182.00
Px00030112126,HC BLOOD PH,$121.00,$121.00
Px00030112132,HC ASSAY OF ESTROGENS,$100.00,$100.00
Px00030112134,HC ASSAY OF VIP,$440.00,$440.00
Px00030112138,HC CALCULUS SPECTROSCOPY,$60.00,$60.00
Px00030112143,HC PROINSULIN,$320.00,$320.00
Px00030112144,HC QUANTITATIVE SCREEN METALS,$112.00,$112.00
Px00030112145,HC SUGARS SINGLE QUALITATIVE EACH SPECIMEN,$16.00,$16.00
Px00030112155,HC TRYPTASE,$225.00,$225.00
Px00030112157,HC ASSAY OF TRIGLYCERIDES,$145.00,$145.00
Px00030112158,HC PHOSPHATASE ALKALINE,$144.00,$144.00
Px00030112159,HC ASSAY OF LIPASE,$192.00,$192.00
Px00030112161,HC PARATHORMONE (PARATHYROID HORMONE),$791.00,$791.00
Px00030112164,HC ASSAY OF GENTAMICIN,$408.00,$408.00
Px00030112165,HC PROSTATE SPECIFIC ANTIGEN FREE,$184.00,$184.00
Px00030112166,HC VITAMIN B-12,$255.00,$255.00
Px00030112172,HC SODIUM URINE,$97.00,$97.00
Px00030112174,HC ASSAY DIPROPYLACETIC ACID,$240.00,$240.00
Px00030112175,HC TOCOPHEROL ALPHA VITAMIN E,$209.00,$209.00
Px00030112178,HC OLIGOCLONAL IMMUNE (OLIGOCLONAL BANDS),$308.00,$308.00
Px00030112185,HC ASSAY OF VITAMIN K,$412.00,$412.00
Px00030112195,HC ASSAY OF HOMOCYSTINE,$304.00,$304.00
Px00030112199,HC PROTOPORPHYRIN RBC QUANTITATIVE,$70.00,$70.00
Px00030112215,HC QUANTITATIVE ASSAY DRUG METHOTREXATE,$314.00,$314.00
Px00030112217,HC ASSAY CREATININE,$106.00,$106.00
Px00030112218,HC ASSAY OF BETA-2 PROTEIN,$264.00,$264.00
Px00030112228,HC ASSAY OF PHENYTOIN TOTAL,$233.00,$233.00
Px00030112229,HC POTASSIUM,$106.00,$106.00
Px00030112248,HC MAGNESIUM,$200.00,$200.00
Px00030112251,HC CHOLESTEROL,$95.00,$95.00
Px00030112259,HC CREATININE CLEARANCE,$292.00,$292.00
Px00030112273,HC PH BODY FLUID,$69.00,$69.00
Px00030112278,HC ASSAY TEST FOR BLOOD FECAL,$26.00,$26.00
Px00030112297,HC ACETYLCHOLINE BINDING AB,$292.00,$292.00
Px00030112298,HC AMYLASE,$200.00,$200.00
Px00030112306,HC ACYLCARNITINES QUANT,$183.00,$183.00
Px00030112310,HC HOMOCYSTEINE,$126.00,$126.00
Px00030112314,HC TOTAL PROTEIN,$150.00,$150.00
Px00030112325,HC CORTISOL,$235.00,$235.00
Px00030112329,HC GLUCOSE,$100.00,$100.00
Px00030112336,HC TESTOSTERONE,$334.00,$334.00
Px00030112351,HC ASSAY OF URINE ALBUMIN,$282.00,$282.00
Px00030112353,HC CATECHOLAMINES FRACTIONATED UR,$434.00,$434.00
Px00030112358,HC CREATININE OTHER SOURCE,$106.00,$106.00
Px00030112373,HC MYOGLOBIN SERUM,$275.00,$275.00
Px00030112375,HC OSMOLALITY,$222.00,$222.00
Px00030112384,HC SGOT (AST),$101.00,$101.00
Px00030112410,HC PROTEIN TOTAL BODY FLUID,$140.00,$140.00
Px00030112416,HC ANGIOTENSIN CONV ENZ CSF (ARUP),$254.00,$254.00
Px00030112650,HC ESTRONE,$106.00,$106.00
Px00030112656,HC QUANTITATIVE ASSAY DRUG THC,$293.00,$293.00
Px00030112659,HC TROPONIN I,$193.00,$193.00
Px00030112684,HC Assay of urine creatinin,$100.00,$100.00
Px00030112690,HC ASSAY THYROID STIM HORMON,$193.00,$193.00
Px00030112699,HC CATECHOLAMINES FRACT -24HR UR,$407.00,$407.00
Px00030112713,HC FSH(FOLLICLE STIMULATE HORMONE),$295.00,$295.00
Px00030112721,"HC GLUCOSE,CSF",$100.00,$100.00
Px00030112727,HC IGE,$292.00,$292.00
Px00030112735,HC LDH (BODY FLUID),$100.00,$100.00
Px00030112736,HC LDH BODY FLUID,$106.00,$106.00
Px00030112755,HC OSMOLALITY (UR),$135.00,$135.00
Px00030112760,"HC POTASSIUM, URINE",$100.00,$100.00
Px00030112780,"HC VITAMIN D, 25-HYDROXY",$419.00,$419.00
Px00030112836,HC ALDOSTERONE (24HR UR),$128.00,$128.00
Px00030112845,HC ALKALINE PHOSPHATE BONE SPECIFIC,$160.00,$160.00
Px00030112847,HC ALPHA 1 ANITITRYPSIN TOTAL,$231.00,$231.00
Px00030112886,"HC AMYLASE, URINE RANDOM",$186.00,$186.00
Px00030112909,HC ANTI-GLIADIN IGA,$102.00,$102.00
Px00030112936,HC ASSAY CALCIUM,$155.00,$155.00
Px00030112937,HC ASSAY CALCIUM IN URINE,$97.00,$97.00
Px00030112942,HC ASSAY GAMMAGLOBULIN IGM,$102.00,$102.00
Px00030112946,HC ASSAY METANEPHRINES,$205.00,$205.00
Px00030112995,"HC ASSAY(PSA),TOTAL",$227.00,$227.00
Px00030113011,HC BETA HYDROXYBUTYRATE,$77.00,$77.00
Px00030113025,"HC BILIRUBIN, TOTAL",$155.00,$155.00
Px00030113045,HC BLOOD UREA NITROGEN,$100.00,$100.00
Px00030113049,"HC BLOOD, OCCULT, FECES",$68.00,$68.00
Px00030113051,HC BODY FLUID CEA,$230.00,$230.00
Px00030113177,HC CSF IGG,$102.00,$102.00
Px00030113289,HC IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP #,$273.00,$273.00
Px00030113320,HC FP - A1C,$171.00,$171.00
Px00030113347,HC BLOOD GASES ANY COMBINATION,$442.00,$442.00
Px00030113377,HC GLUCOSE QUANT BLOOD (EXCEPT REAGENT STRIP) POCT,$106.00,$106.00
Px00030113411,"HC HCG, QUALITATIVE",$211.00,$211.00
Px00030113412,"HC HCG, QUANTITATIVE",$343.00,$343.00
Px00030113413,HC HEAVY METAL QUANT(EACH),$180.00,$180.00
Px00030113448,"HC HISTAMINE,URINE",$414.00,$414.00
Px00030113491,HC IMMUNOASSAY ANALYTE NOS,$145.00,$145.00
Px00030113501,"HC IMMUNOASSAY,QUANT NOT OTHER SPEC",$121.00,$121.00
Px00030113521,HC INSULIN ASSAY,$191.00,$191.00
Px00030113552,HC LDH (LH),$100.00,$100.00
Px00030113580,HC MAG ANTIBODY IGM,$205.00,$205.00
Px00030113634,HC METHYLMALONIC SERUM,$362.00,$362.00
Px00030113641,HC MICROALBUMIN (24HR UR),$28.00,$28.00
Px00030113660,HC MS-ALBUMIN SERUM,$95.00,$95.00
Px00030113743,"HC PH, BODY FLUID",$52.00,$52.00
Px00030113746,"HC PHENYLALANINE(PKU), BLOOD",$393.00,$393.00
Px00030113753,HC PKU NEWBORN SCREEN,$393.00,$393.00
Px00030113799,HC PROSTATE SPEC ANTIGEN(PSA)TOTAL,$49.00,$49.00
Px00030113802,HC PROT TOTAL EXC BY REFRACT SERUM,$140.00,$140.00
Px00030113814,HC PROTEIN ELECTROPHORESIS-SERUM,$121.00,$121.00
Px00030113913,HC ASSAY OF NEPHELOMETRY EACH ANALYTE NES #,$153.00,$153.00
Px00030113941,HC APOLIPOPROTEIN (B-100) EA,$108.00,$108.00
Px00030113956,HC CATECHOLAMINES FRACTIONATED #,$438.00,$438.00
Px00030114066,"HC PROTEIN, CSF",$140.00,$140.00
Px00030114101,"HC SODIUM,URINE",$102.00,$102.00
Px00030114135,HC T3 TOTAL,$231.00,$231.00
Px00030114140,"HC T4 (THYROXINE),TOTAL",$196.00,$196.00
Px00030114150,"HC TESTOSTERONE,FREE",$379.00,$379.00
Px00030114183,HC ASSAY FOR TOBRAMYCIN,$98.00,$98.00
Px00030114208,HC TSH REFLEX TO FT4,$99.00,$99.00
Px00030210066,"HC IMMUNOFIXATION, SERUM",$403.00,$403.00
Px00030210100,HC GAMMAGLOBULIN IGG CSF,$176.00,$176.00
Px00030210127,HC CENTROMERE-AB,$90.00,$90.00
Px00030210148,HC IMMUNOASSAY-FOR ANALYTE,$29.00,$29.00
Px00030210151,HC LAMELLAR BODIES,$159.00,$159.00
Px00030210302,HC ALLERGEN SPECIFIC IGE,$20.00,$20.00
Px00030210319,"HC ARC CROSSMATCH, ANTIGLOBULIN",$307.00,$307.00
Px00030210349,HC HSV 2 ANTIBODY IGG,$238.00,$238.00
Px00030210350,HC MYCOPLASMA ANTIBODY,$160.00,$160.00
Px00030210354,HC ANTINUCLEAR ANTIBODIES (ANA) TITER,$126.00,$126.00
Px00030210360,HC TREPONEMA PALLIDUM,$188.00,$188.00
Px00030210361,HC THYROGLOBULIN ANTIBODY,$236.00,$236.00
Px00030210369,HC ANTINUCLEAR ANTIBODIES - ANA,$277.00,$277.00
Px00030210378,HC ALLERGEN SPECIFIC IGE - RAST,$138.00,$138.00
Px00030210393,HC ANTISTREPTOLYSIN O TITER,$148.00,$148.00
Px00030210399,HC C-REACTIVE PROTEIN,$161.00,$161.00
Px00030210405,HC CARDIOLIPIN ANTIBODY,$121.00,$121.00
Px00030210406,HC CHLAMYDIA IGM ANTIBODY,$273.00,$273.00
