"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
14140,ED-MEDIAL MALLEOLUS FX W/MANIP BI-LAT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2776050
14141,ED-MEDIAL MALLEOLUS FX W/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27760LT
14142,ED-MEDIAL MALLEOLUS FX W/O MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27760RT
14143,ED-C-TX MALLEOULUS FX W.MANI skeletal BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,2776250
14144,ED-C-TX MALLEOLUS FX W/MANI skeletal LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2500,27762LT
14145,ED-C-TX MALLEOLUS FX W/MAN skeltal RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2500,27762RT
14146,ED-C-TX POST MALLEOLUS FX W/WO MANI BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,2776750
14147,ED-C-TX POST MALLEOLUS FX W/WO MANI LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27767LT
14148,ED-C-TX POST MALLEOLUS FX W/WO MANI RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27767RT
14150,ED-CLSD TX POST MALLEOLUS FX W/MANI BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2776850
14151,ED-CLSD TX POST MALLEOLUS FX W/MANI LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.96,27768LT
14152,ED-CLSD TX POST MALLEOLUS FX W/MANI RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27768RT
14153,ED-FIBULA PRXML/SHAFT FX W/O MANIP BILAT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2778050
14154,ED-FIBULA PRXML/SHAFT FX W/O MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27780LT
14155,ED-FIBULA PRXML/SHAFT FX W/O MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27780RT
14156,ED-FIBULA PRXML/SHAFT FX W/ MANIP BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2778150
14157,ED-FIBULA PRXML/SHAFT FX W/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27781LT
14158,ED-FIBULA PRXML/SHAFT FX W/MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27781RT
14159,ED-CLD TX TIBIAL DISTAL(L.M)FX WO MAN BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2778650
14160,ED-CLD TX TIBIAL DISTAL(L.M)FX WO MAN LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27786LT
14161,ED-CLD TX TIBIAL DISTAL(L.M)FX WO MAN RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27786RT
14162, ED-CLD TX TIBIAL DISTAL(L.M)FX W/MAN BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2778850
14163,ED-CLD TX TIBIAL DISTAL(L.M)FX W/MAN LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27788LT
14164,ED-CLD TX TIBIAL DISTAL(L.M)FX W/MAN RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27788RT
14165,ED-TX BIMALLEOLAR ANKLE FX W/O MAN BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2780850
14166,ED-TX BIMALLEOLAR ANKLE FX W/O MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27808LT
14167,ED-TX BIMALLEOLAR ANKLE FX W/O MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27808RT
14168,ED-TX BIMALLEOLAR ANKLE FX W/MANIP BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2781050
14169,ED-TX BIMALLEOLAR ANKLE FX W/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27810LT
14170,ED-TX BIMALLEOLAR ANKLE FX W/O MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27810RT
14171,ED-TX ANKLE TRIMALLEOLAR FX W/O MANP BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2781650
14172,ED-TX ANKLE TRIMALLEOLAR FX W/O MANP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27816LT
14173,ED-TX ANKLE TRIMALLEOLAR FX W/O MANP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27816RT
14174,ED-TX ANKLE TRIMALLEOLAR FX W/MANP BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2781850
14175,ED-TX ANKLE TRIMALLEOLAR FX W/MANP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27818LT
14176,ED-TX ANKLE TRIMALLEOLAR FX W/MANP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27818RT
14177,ED-TIBIAL DISTAL BEARING FX W/WO ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2782450
14178,ED-TIBIAL DISTAL BEARING FX W/WO ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27824LT
14179,ED-TIBIAL DISTAL BEARING FX W/WO ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27824RT
14180,TIB DISTAL BEARING ART FX W/MAN/SKEL BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,2782550
14181,TIB DISTAL BEARING ART FX W/MAN/SKEL LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2500,27825LT
14182,TIB DISTAL BEARING ART FX W/MAN/SKEL RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2500,27825RT
14183,CLSD TX TIBIOFIB JNT DISLOC WO ANEST BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2783050
14184,CLSD TX TIBIOFIB JNT DISLOC WO ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27830LT
14185,CLSD TX TIBIOFIB JNT DISLOC WO ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27830RT
14186,CLSD TX TIBIOFIBULA JNT DISLOC W ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,7715.35,2783150
14187,CLSD TX TIBIOFIBULA JNT DISLOC W ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,6172.3,27831LT
14188,CLSD TX TIBIOFIBULA JNT DISLOC W ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,6172.28,27831RT
14189,ED-CLSD TX ANKLE DISLOCATION W/O ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,626.8,2784050
14190,ED-CLSD TX ANKLE DISLOCATION W/O ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,501.45,27840LT
14191,ED-CLSD TX ANKLE DISLOCATION W/O ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,501.45,27840RT
14192,ED-CLSD TX ANKLE DISLOCATION W ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3035,2784250
14193,ED-CLSD TX ANKLE DISLOCATION W ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27842LT
14194,ED-CLSD TX ANKLE DISLOCATION W ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27842RT
14195,ED-REMOVAL FOREIGN BODY FOOT SUBCUT BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2200,2819050
14196,"ED-REMOVE FOREIGN BODY FOOT, CMPLX BI",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,2819250
14197,"ED-REMOVE FORGN BODY FOOT, DEEP CPLX BI",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2200,2819350
14198,ED-CLSD FX CALCANEAL FX W/O MANIP BOTH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2840050
14199,ED-CLSD FX CALCANEAL FX W/O MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28400LT
14200,ED-CLSD FX CALCANEAL FX W/O MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28400RT
14201,ED-CLSD FX CALCANEAL FX W/MANIP BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1880,2840550
14202,ED-CLSD FX CALCANEAL FX W/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,28405LT
14203,ED-CLSD FX CALCANEAL FX W MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,28405RT
14204,MM-CLSD TX TALUS FX WO MANIPULAT BILAT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2843050
14205,MM-CLSD TX TALUS FX WO MANIPULAT LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28430LT
14206,MM-CLSD TX TALUS FX WO MANIPULAT RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28430RT
14207,ED-CLSD TX TALUS FX W/MANIPULATION BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,2843550
14208,ED-CLSD TX TALUS FX W/MANIPULATION LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2300,28435LT
14209,ED-CLSD TX TALUS FX W/MANIPULATION RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2300,28435RT
14210,CLSD TX TARSAL BONE FX WO/MANIPULAT BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2845050
14211,ED-CLSD TX TARSAL BONE FX WO MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28450LT
14212,ED-CLSD TX TARSAL BONE FX WO MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28450RT
14213,ED-CLSD TX TARSAL BONE MANIPULATION BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,7107.52,2845550
14214,ED-CLSD TX TARSAL BONE W MANIPULATION LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5686.05,28455LT
14215,ED-CLSD TX TARSAL BONE W MANIPULATION RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5686.05,28455RT
14216,ED-TARSAL BONE FX W/MANIP-FIXATION BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,15220.4,2845650
14217,ED-TARSAL BONE FX W/MANIP-FIXATION LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,12176.3,28456LT
14218,ED-TARSAL BONE FX W/MANIP-FIXATION RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,12176.3,28456RT
14219,ED-METEATARSAL FX W/O MANIP BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2847050
14220,ED-CLSD TX METATARSAL FX W/0 MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28470LT
14221,ED-CLSD TX METATARSAL FX W/0 MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28470RT
14222,ED-CLSD TX METATARSAL FX W MANIP BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2847550
14223,ED-CLSD TX METATARSAL FX W MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28475LT
14224,ED-CLSD TX METATARSAL FX W MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28475RT
14225,ED-CLSD TX TOE/PHALANX-GES W/O MAN T5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28490T5
14226,ED-CLSD TX TOE/PHALANX-GES W/O MAN TA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28490TA
14227,ED-CLSD TX TOE/PHALANX-GES W MANP T5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28495T5
14228,ED-CLSD TX TOE/PHALANX-GES W/ MAN TA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28495TA
14229,"PERCUTANE SKELTAL FX TOE,PHALANX-GES T5",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,28496T5
14230,PERCUTAN SKELETAL FIX TOE PHALANX-GES TA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,28496TA
14231,ED-CLSD TX PHALANX-PHALANGES W/O MANP T1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T1
14232,ED-CLSD TX PHALANX-PHALANGES W/O MANP T2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T2
14233,ED-CLSD TX PHALANX-PHALANGES W/O MANP T3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T3
14234,ED-CLSD TX PHALANX-PHALANGES W/O MANP T4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T4
14235,ED-CLSD TX PHALANX-PHALANGES W/O MANP T6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T6
14236,ED-CLSD TX PHALANX-PHALANGES W/O MANP T7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T7
14237,ED-CLSD TX PHALANX-PHALANGES W/O MANP T8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T8
14238,ED-CLSD TX PHALANX-PHALANGES W/O MANP T9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28510T9
14239,ED-CLSD TX PHALANX-PHALANGES W MANP T1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T1
14240,ED-CLSD TX PHALANX-PHALANGES W MANP T2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T2
14241,ED-CLSD TX PHALANX-PHALANGES W MANP T3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T3
14242,ED-CLSD TX PHALANX-PHALANGES W MANP T4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T4
14243,ED-CLSD TX PHALANX-PHALANGES W MANP T6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T6
14244,ED-CLSD TX PHALANX-PHALANGES W MANP T7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T7
14245,ED-CLSD TX PHALANX-PHALANGES W MANP T8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T8
14246,ED-CLSD TX PHALANX-PHALANGES W MANP T9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28515T9
14247,ED-CLSD TX SESAMOID FX W/O ANESTH BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2853050
14248,ED-CLSD TX SESAMOID FX W/O ANESTH LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28530LT
14249,ED-CLSD TX SESAMOID FX W/O ANESTH RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28530RT
14250,ED-CLSD TX TARSAL DISLOC W/O ANEST BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2854050
14251,ED-CLSD TX TARSAL DISLOC W/O ANEST LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28540LT
14252,ED-CLSD TX TARSAL DISLOC W/O ANEST RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28540RT
14253,ED-CLSD TX TARSAL DISLOC W/ANEST BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5400,2854550
14254,ED-CLSD TX TARSAL DISLOC W/ANEST LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,28545LT
14255,ED-CLSD TX TARSAL DISLOC W/ANEST RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,28545RT
14256,ED-TARSAL DISLOCATION W/SKELETAL FX BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5400,2854650
14257,ED-TARSAL DISLOCATION W/SKELETAL FX LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,28546LT
14258,ED-TARSAL DISLOCATION W/SKELETAL FX RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,28546RT
14259,ED-TX TALOTARSAL JT DISLOC W/O ANES BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2857050
14260,ED-TX TALOTARSAL JT DISLOC W/O ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28570LT
14261,ED-TX TALOTARSAL JT DISLOC W/O ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28570RT
14262,ED-TX TALOTARSAL JT DISLOC W/ANESTH BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,7715.35,2857550
14263,ED-TX TALOTARSAL JT DISLOC W/ANESTH LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,6172.3,28575LT
14264,ED-TX TALOTARSAL JT DISLOC W/ANESTH RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,6172.3,28575RT
14265,ED-TARSPMETETARSAL JT DISLOC W/O ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2860050
14266,ED-TARSOMETATARSAL JT DISLOC W/O ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28600LT
14267,ED-TARSOMETATARSAL JT DISLOC W/O ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28600RT
14268,ED-TARSOMETATARSAL JT DISLOC W/ ANEST BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2860550
14269,ED-TARSOMETATARSAL JT DISLOC W/ ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28605LT
14270,ED-TARSOMETATARSAL JT DISLOC W/ ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28605RT
14271,ED-CNTRL NASAL HEMORRHAGE ANY METHOD BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,3090150
14272,"ED-NOSE PACK ANTERIOR COMPLEX, BILATERAL",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,3090350
14273,"ED-CHEST TUBE, THORACOSTOMY BILATERAL",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2867.05,3255150
14274,METATARSOPHALANGEAL JT DISLO WO ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2863050
14275,METATARSOPHALANGEAL JT DISLO WO ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28630LT
14276,METATARSOPHALANGEAL JT DISLO WO ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28630RT
14277,METATARSOPHALANGEAL JT DISLO W ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,2863550
14278,METATARSOPHALANGEAL JT DISLO W ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2300,28635LT
14279,METATARSOPHALANGEAL JT DISLO W ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2300,28635RT
14280,TX INTERPHALANGEAL JNT DISLCO W/ANES T1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T1
14281,TX INTERPHALANGEAL JNT DISLCO W/ANES T2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T2
14282,TX INTERPHALANGEAL JNT DISLCO W/ANES T3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T3
14283,TX INTERPHALANGEAL JNT DISLCO W/ANES T4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T4
14284,TX INTERPHALANGEAL JNT DISLCO W/ANES T5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T5
14285,TX INTERPHALANGEAL JNT DISLCO W/ANES T6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T6
14286,TX INTERPHALANGEAL JNT DISLCO W/ANES T7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T7
14287,TX INTERPHALANGEAL JNT DISLCO W/ANES T8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T8
14288,TX INTERPHALANGEAL JNT DISLCO W/ANES T9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660T9
14299,TX INTERPHALANGEAL JNT DISLCO W/ANES TA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,28660TA
14300,"ED-DRAIN EXT EAR, ABSCESS,HEMATOMA SIMPL",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1257.2,69000
14301,"ED-DRAIN EXT EAR,ABSCESS,HEMATOMA CMPLX",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,69005
14302,ED-INCISION & DRAINAGE-PERIRECTAL ABSCES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2500,46040
14303,ED-INCISION & DRAINAGE PERIANAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,46050
14305,"ED-THORACENTESIS,NEEDLE/CATH W/O IMAGE G",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,32554
14306,"ED-THORACENTESIS,NEEDLE/CATH W/ GUIDANCE",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1429.35,32555
14307,ED PLEURAL DRAIN PERCUT W/CATH-GUIDANCE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3112.75,32556
14308,ED-PLEURAL DRAIN PERCUT W/CATH W/O GUIDE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2293.65,32557
14309,ED-PACER-INTERNAL TEMPORARY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,19185,33210
14310,ED-UNNA BOOT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,29580
14311,ED-REMOVAL BIVALVING;GAUNTLET CAST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,29700
14312,ED-REMOVAL BIVALVING FULL ARM/LEG  CAST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,29705
14313,ED-WINDOW CAST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,29730
14314,ED-WEDGE CAST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,29740
14315,ED-DRAINAGE ADSCESS/HEAMTOMA NASAL INTER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,30000
14316,ED-TRACHEOSOTOMY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,31603
14317,ED-CRICOTHYROIDOTOMY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,31605
14318,ED-ED-RMVL COMPLX EMBED FORGN BDY MOUTH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,40805
14319,ED-LAC REPAIR FLR  MOUTH/TONGUE >2.5CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,41252
14320,ED-RMVL FOREIGN BODY PHARYNX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,42809
14321,ED-PHARANX/ADENOIDS/TONSIL UNLISTED PROC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,42999
14322,ED-G-TUBE REPLACE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,43760
14323,ED-G-TUBE REPOSITION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,43761
14324,ED-RMVL FOREIGN BODY RECTUM-RIGID SCOPE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5054.5,45307
14325,ED-RMVL FOREIGN BODY RECTUM FLEX SCOPE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,45332
14326,ED-UNLISTED PROCEDURE-RECTUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,45999
14327,ED-INCISION& DRAINAGE-HEMORRHOID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,46083
14328,ED-INPT ONLY;I & D PERITONEAL ABSCESS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2500,49020
14329,ED-INCISION &DRAINAGE-VULVA/PERINEAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,56420
14330,ED-UNLISTED PROCEDURE-GENITILA FEMALE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,58999
14331,"ED-INJ, ANESTHETIC TRIGEMINAL NERVE, ANY",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,64400
14332,ED-DIGITAL BLOCK-INJ ANEST PERIPHE NERVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,64450
14336,ED-RMVL FOREIGN BOBY SKIN/SUB CMPLX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,10121
14337,ED-I&D POST OP WOUND COMPLEX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,4500,10180
14339,ED-TEMPOROMANDIBULAR DISLOCATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1032.2,21480
14340,ED-REMOVAL FRGN BDY-FOOT SMPL W/INCISION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,28190
14341,ED-REMVL FOREIGN BDY-FT COMPL DEEP INCIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,28192
14342,ED-REMVL FOREIGN BDY-FT COMPL DEEP INCIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,28193
14343,ED-ADMIN OF INFLUENZA VIRUS VACCINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,771,121,G0008
14438,ED-DEHISCENCE-SECONDARY CLOSURE SURGICAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,13160
15000,ED-STERNOCLAVICULAR DISLOCATION W/MAN LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,23525LT
15001,ED-STERNOCLAVICULAR DISLOCATION W/MAN RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,23525RT
15002,ED-ACROMIOCLAVICUL DISLOC W/O MAN BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2354050
15003,ED-ACROMIOCLAVICUL DISLOC W/O MAN LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,23540LT
15004,ED-ACROMIOCLAVICUL DISLOC W/O MAN RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,23540RT
15005,ED-ACROMIOCLAVICULAR DISLOC W/MAN BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2354550
