Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
111897,OCUVITE T,$0.50 
111898,DESMOPRES 0.1% NAS,$280.00 
111901,CALCIUM ACE 667MG T,$3.50 
111906,LEVOTHYROX 0.088MG T,$5.50 
111908,PHYTONADIOONE 5MG T,$24.50 
111914,WARFARIN SOD 2.5MG T,$12.00 
111916,WARFARIN SOD 2MG T,$12.00 
111917,WARFARIN SOD 5MG T,$12.00 
111918,WARFARIN SOD 7.5MG T,$12.00 
111926,VERAPAMIL 240MG SRT,$4.50 
111927,LABETALOL 100MG,$4.50 
111928,ALBUTEROL 4MG SRT,$7.50 
111932,ALBUTEROL 0.083 3ML,$12.50 
111933,LABETALOL 200MG T,$14.00 
111938,DIPHENHYRD 12.5\5 5M,$1.00 
111941,BROMPHEN PSE C,$11.00 
111942,PENTOXIFY 400MG SRT,$5.50 
111943,NTG 0.1MG\HR TDP,$10.50 
111959,ACEBUTOLOL 200MG C,$5.50 
111964,CLONIDINE TTS-1 TDP,$48.50 
111966,CLONIDINE TTS-2 TDP,$89.50 
111967,CLONIDINE TTS-3 TDP,$124.00 
